level_0,level_1,level_2
"10","100","100"
"10","100","100.01"
"10","101","101"
"10","101","101.01"
"10","107","107"
"10","107","107.01"
"11","110","110"
"11","110","110.01"
"11","110","110.02"
"12","120","120"
"12","120","120.01"
"12","120","120.02"
"12","120","120.03"
"12","120","120.04"
"12","120","120.05"
"12","120","120.06"
"12","120","120.09"
"12","121","121"
"12","121","121.01"
"12","121","121.03"
"13","130","130"
"13","130","130.01"
"13","130","130.02"
"16","160","160"
"16","160","160.08"
"16","160","160.09"
"16","161","161.03"
"16","161","161.04"
"16","161","161.05"
"16","161","161.07"
"16","162","162"
"16","162","162.01"
"16","162","162.02"
"16","162","162.04"
"16","162","162.05"
"16","162","162.09"
"22","220","220"
"22","220","220.01"
"22","220","220.02"
"22","221","221"
"22","221","221.01"
"22","221","221.02"
"22","221","221.03"
"22","221","221.04"
"22","221","221.05"
"22","221","221.06"
"22","221","221.1"
"22","221","221.11"
"22","221","221.12"
"22","221","221.13"
"22","221","221.99"
"22","222","222"
"22","222","222.01"
"22","222","222.02"
"22","222","222.03"
"22","222","222.99"
"22","225","225"
"22","225","225.01"
"22","225","225.02"
"22","226","226.01"
"22","226","226.02"
"22","226","226.03"
"22","226","226.04"
"22","226","226.06"
"22","226","226.07"
"22","226","226.09"
"22","226","226.99"
"22","227","227"
"22","227","227.01"
"22","227","227.02"
"22","227","227.04"
"22","227","227.05"
"22","227","227.06"
"22","227","227.08"
"22","227","227.99"
"23","230","230"
"23","230","230.1"
"23","230","230.2"
"23","231","231"
"23","231","231.1"
"23","231","231.2"
"42","421","421"
"42","421","421.1"
"42","423","423"
"42","423","423.1"
"42","423","423.2"
"42","423","423.9"
"45","453","453"
"45","453","453.1"
"45","453","453.2"
"45","453","453.9"
"72","721","721"
"72","721","721.09"
"80","800","800"
"80","800","800.1"
"80","800","800.2"
"80","800","800.9"
"80","801","801"
"80","801","801.1"
"80","801","801.2"
"80","801","801.9"
"82","820","820"
"82","820","820.1"
"82","820","820.2"
"82","820","820.9"
"82","821","821"
"82","821","821.1"
"82","821","821.2"
"82","821","821.9"
"84","840","840"
"84","840","840.1"
"84","841","841"
"84","841","841.1"
"85","850","850.01"
"85","850","850.2"
"85","850","850.9"
"86","860","860.1"
"86","860","860.2"
"86","860","860.9"
"87","872","872.1"
"87","872","872.2"
"87","872","872.9"
