"Dataset","Number of the triple","Time"
"result","1","1.6982927322387695"
"result","2","1.6983120441436768"
"result","3","1.6984376907348633"
"result","4","1.6984763145446777"
"result","5","1.6985371112823486"
"result","6","1.6985454559326172"
"result","7","1.698596477508545"
"result","8","1.6986021995544434"
"result","9","1.6987347602844238"
"result","10","1.698782205581665"
"result","11","1.6987876892089844"
"result","12","1.6988346576690674"
"result","13","1.6988403797149658"
"result","14","1.6988892555236816"
"result","15","1.6989548206329346"
"result","16","1.699049711227417"
"result","17","1.6990559101104736"
"result","18","1.6991050243377686"
"result","19","1.699380874633789"
"result","20","1.6995439529418945"
"result","21","1.699601650238037"
"result","22","1.6997528076171875"
"result","23","1.6998848915100098"
"result","24","1.699890375137329"
"result","25","1.6999406814575195"
"result","26","1.699988842010498"
"result","27","1.6999943256378174"
"result","28","1.700028896331787"
"result","29","1.7000908851623535"
"result","30","1.700096607208252"
"result","31","1.7001571655273438"
"result","32","1.700162649154663"
"result","33","1.700193166732788"
"result","34","1.7001984119415283"
"result","35","1.7002625465393066"
"result","36","1.7003319263458252"
"result","37","1.7003593444824219"
"result","38","1.7004263401031494"
"result","39","1.7005243301391602"
"result","40","1.7005321979522705"
"result","41","1.700570821762085"
"result","42","1.7006137371063232"
"result","43","1.7006216049194336"
"result","44","1.7006876468658447"
"result","45","1.7006950378417969"
"result","46","1.7007465362548828"
"result","47","1.7007536888122559"
"result","48","1.7019217014312744"
"result","49","1.7019376754760742"
"result","50","1.7019526958465576"
"result","51","1.7020103931427002"
"result","52","1.7020165920257568"
"result","53","1.702026128768921"
"result","54","1.7020623683929443"
"result","55","1.7020676136016846"
"result","56","1.7020766735076904"
"result","57","1.702110767364502"
"result","58","1.7021160125732422"
"result","59","1.7021269798278809"
"result","60","1.7021598815917969"
"result","61","1.702164888381958"
"result","62","1.7021739482879639"
"result","63","1.7022066116333008"
"result","64","1.702279806137085"
"result","65","1.702301025390625"
"result","66","1.7023506164550781"
"result","67","1.7023561000823975"
"result","68","1.7023656368255615"
"result","69","1.7023980617523193"
"result","70","1.7024040222167969"
"result","71","1.7024128437042236"
"result","72","1.7024447917938232"
"result","73","1.7024524211883545"
"result","74","1.7024617195129395"
"result","75","1.7024941444396973"
"result","76","1.7024989128112793"
"result","77","1.7025072574615479"
"result","78","1.7025377750396729"
"result","79","1.702542781829834"
"result","80","1.7025511264801025"
"result","81","1.7025830745697021"
"result","82","1.7025883197784424"
"result","83","1.7025973796844482"
"result","84","1.702632188796997"
"result","85","1.7026374340057373"
"result","86","1.7026467323303223"
"result","87","1.7026875019073486"
"result","88","1.702692985534668"
"result","89","1.7027044296264648"
"result","90","1.702742338180542"
"result","91","1.7027473449707031"
"result","92","1.702759027481079"
"result","93","1.702793836593628"
"result","94","1.702798843383789"
"result","95","1.7028095722198486"
"result","96","1.7028472423553467"
"result","97","1.7028529644012451"
"result","98","1.7028627395629883"
"result","99","1.7028963565826416"
"result","100","1.702901840209961"
"result","101","1.7029120922088623"
"result","102","1.7029476165771484"
"result","103","1.7029531002044678"
"result","104","1.70296311378479"
"result","105","1.7029945850372314"
"result","106","1.7029995918273926"
"result","107","1.7030224800109863"
"result","108","1.703052282333374"
"result","109","1.703056812286377"
"result","110","1.7030646800994873"
"result","111","1.703094244003296"
"result","112","1.703099012374878"
"result","113","1.7031068801879883"
"result","114","1.7031357288360596"
"result","115","1.7031400203704834"
"result","116","1.703148365020752"
"result","117","1.703176498413086"
"result","118","1.7031810283660889"
"result","119","1.7031888961791992"
"result","120","1.703216552734375"
"result","121","1.703221082687378"
"result","122","1.7032291889190674"
"result","123","1.7032577991485596"
"result","124","1.7032623291015625"
"result","125","1.703270673751831"
"result","126","1.7032997608184814"
"result","127","1.703345537185669"
"result","128","1.7033579349517822"
"result","129","1.7033891677856445"
"result","130","1.7033936977386475"
"result","131","1.703401803970337"
"result","132","1.7034313678741455"
"result","133","1.7034361362457275"
"result","134","1.703446388244629"
"result","135","1.703476905822754"
"result","136","1.7034821510314941"
"result","137","1.7034907341003418"
"result","138","1.7035202980041504"
"result","139","1.7035248279571533"
"result","140","1.7035329341888428"
"result","141","1.7035622596740723"
"result","142","1.7035667896270752"
"result","143","1.7035748958587646"
"result","144","1.7036056518554688"
"result","145","1.7036104202270508"
"result","146","1.7036185264587402"
"result","147","1.7036478519439697"
"result","148","1.7036523818969727"
"result","149","1.7036616802215576"
"result","150","1.703691005706787"
"result","151","1.70369553565979"
"result","152","1.7037038803100586"
"result","153","1.7037334442138672"
"result","154","1.7037379741668701"
"result","155","1.7037460803985596"
"result","156","1.7037758827209473"
"result","157","1.7037804126739502"
"result","158","1.7037885189056396"
"result","159","1.703817367553711"
"result","160","1.7038218975067139"
"result","161","1.7038297653198242"
"result","162","1.7038583755493164"
"result","163","1.7038631439208984"
"result","164","1.703871726989746"
"result","165","1.7039003372192383"
"result","166","1.7039048671722412"
"result","167","1.7039127349853516"
"result","168","1.7039415836334229"
"result","169","1.7039458751678467"
"result","170","1.703953504562378"
"result","171","1.7039823532104492"
"result","172","1.7039868831634521"
"result","173","1.7039945125579834"
"result","174","1.7040235996246338"
"result","175","1.7040281295776367"
"result","176","1.7040362358093262"
"result","177","1.7040653228759766"
"result","178","1.7040700912475586"
"result","179","1.704078197479248"
"result","180","1.7041068077087402"
"result","181","1.7041113376617432"
"result","182","1.7041192054748535"
"result","183","1.7041473388671875"
"result","184","1.7041518688201904"
"result","185","1.7041599750518799"
"result","186","1.7041881084442139"
"result","187","1.7041926383972168"
"result","188","1.7042007446289062"
"result","189","1.7042286396026611"
"result","190","1.704232931137085"
"result","191","1.7042601108551025"
"result","192","1.7042946815490723"
"result","193","1.7042994499206543"
"result","194","1.7043075561523438"
"result","195","1.7043371200561523"
"result","196","1.7043418884277344"
"result","197","1.7043499946594238"
"result","198","1.7043788433074951"
"result","199","1.7043836116790771"
"result","200","1.704392433166504"
"result","201","1.7044212818145752"
"result","202","1.7044270038604736"
"result","203","1.7044353485107422"
"result","204","1.7044649124145508"
"result","205","1.7044696807861328"
"result","206","1.7044782638549805"
"result","207","1.704507827758789"
"result","208","1.7045130729675293"
"result","209","1.7045214176177979"
"result","210","1.704549789428711"
"result","211","1.704554557800293"
"result","212","1.7045631408691406"
"result","213","1.7045927047729492"
"result","214","1.7045977115631104"
"result","215","1.704606056213379"
"result","216","1.7046358585357666"
"result","217","1.7046406269073486"
"result","218","1.7046489715576172"
"result","219","1.7046778202056885"
"result","220","1.7046873569488525"
"result","221","1.7046964168548584"
"result","222","1.704728126525879"
"result","223","1.7047326564788818"
"result","224","1.7047412395477295"
"result","225","1.7047700881958008"
"result","226","1.7048099040985107"
"result","227","1.7048208713531494"
"result","228","1.7048532962799072"
"result","229","1.7048580646514893"
"result","230","1.7048664093017578"
"result","231","1.7048964500427246"
"result","232","1.7049009799957275"
"result","233","1.704909324645996"
"result","234","1.7049381732940674"
"result","235","1.7049429416656494"
"result","236","1.704951286315918"
"result","237","1.7049806118011475"
"result","238","1.7049853801727295"
"result","239","1.7049939632415771"
"result","240","1.7050223350524902"
"result","241","1.7050268650054932"
"result","242","1.7050352096557617"
"result","243","1.7050645351409912"
"result","244","1.7050690650939941"
"result","245","1.7050774097442627"
"result","246","1.705106496810913"
"result","247","1.705111026763916"
"result","248","1.7051191329956055"
"result","249","1.7051489353179932"
"result","250","1.705153465270996"
"result","251","1.7051620483398438"
"result","252","1.7051923274993896"
"result","253","1.7051968574523926"
"result","254","1.7052185535430908"
"result","255","1.7052521705627441"
"result","256","1.7052569389343262"
"result","257","1.7052655220031738"
"result","258","1.7052958011627197"
"result","259","1.7053008079528809"
"result","260","1.7053093910217285"
"result","261","1.705338478088379"
"result","262","1.70534348487854"
"result","263","1.7053523063659668"
"result","264","1.7053813934326172"
"result","265","1.7053861618041992"
"result","266","1.7053942680358887"
"result","267","1.705423355102539"
"result","268","1.705427885055542"
"result","269","1.7054362297058105"
"result","270","1.7054650783538818"
"result","271","1.705470085144043"
"result","272","1.7054784297943115"
"result","273","1.705507755279541"
"result","274","1.705512285232544"
"result","275","1.7055206298828125"
"result","276","1.7055492401123047"
"result","277","1.7055540084838867"
"result","278","1.7055623531341553"
"result","279","1.7055919170379639"
"result","280","1.705596685409546"
"result","281","1.7056050300598145"
"result","282","1.7056334018707275"
"result","283","1.7056379318237305"
"result","284","1.705646276473999"
"result","285","1.7056751251220703"
"result","286","1.7056794166564941"
"result","287","1.7056877613067627"
"result","288","1.705716609954834"
"result","289","1.705721378326416"
"result","290","1.7057299613952637"
"result","291","1.705758810043335"
"result","292","1.705763578414917"
"result","293","1.7057719230651855"
"result","294","1.7057993412017822"
"result","295","1.7058041095733643"
"result","296","1.7058122158050537"
"result","297","1.7058806419372559"
"result","298","1.7058870792388916"
"result","299","1.705897331237793"
"result","300","1.7059288024902344"
"result","301","1.7059335708618164"
"result","302","1.705942153930664"
"result","303","1.705972671508789"
"result","304","1.705977201461792"
"result","305","1.7059862613677979"
"result","306","1.7060158252716064"
"result","307","1.7060203552246094"
"result","308","1.7060291767120361"
"result","309","1.7060585021972656"
"result","310","1.7060632705688477"
"result","311","1.706071376800537"
"result","312","1.7061007022857666"
"result","313","1.7061057090759277"
"result","314","1.7061142921447754"
"result","315","1.7061443328857422"
"result","316","1.706165075302124"
"result","317","1.706176519393921"
"result","318","1.706207513809204"
"result","319","1.7062122821807861"
"result","320","1.7062206268310547"
"result","321","1.7062509059906006"
"result","322","1.7062556743621826"
"result","323","1.7062640190124512"
"result","324","1.7062928676605225"
"result","325","1.7062976360321045"
"result","326","1.706305980682373"
"result","327","1.706333875656128"
"result","328","1.70633864402771"
"result","329","1.7063472270965576"
"result","330","1.706376552581787"
"result","331","1.7063813209533691"
"result","332","1.7063899040222168"
"result","333","1.7064192295074463"
"result","334","1.7064242362976074"
"result","335","1.706432580947876"
"result","336","1.7064614295959473"
"result","337","1.7064659595489502"
"result","338","1.7064743041992188"
"result","339","1.7065045833587646"
"result","340","1.7065095901489258"
"result","341","1.7065179347991943"
"result","342","1.7065484523773193"
"result","343","1.7065532207489014"
"result","344","1.70656156539917"
"result","345","1.706592082977295"
"result","346","1.706596851348877"
"result","347","1.7066054344177246"
"result","348","1.7066354751586914"
"result","349","1.7066402435302734"
"result","350","1.706648826599121"
"result","351","1.7066779136657715"
"result","352","1.7066829204559326"
"result","353","1.7066915035247803"
"result","354","1.7067203521728516"
"result","355","1.7067248821258545"
"result","356","1.706732988357544"
"result","357","1.7067615985870361"
"result","358","1.7067663669586182"
"result","359","1.7067747116088867"
"result","360","1.7068114280700684"
"result","361","1.7068185806274414"
"result","362","1.7068328857421875"
"result","363","1.7068698406219482"
"result","364","1.7068748474121094"
"result","365","1.706883430480957"
"result","366","1.7069134712219238"
"result","367","1.706918478012085"
"result","368","1.7069270610809326"
"result","369","1.706955909729004"
"result","370","1.706960678100586"
"result","371","1.7069690227508545"
"result","372","1.7069978713989258"
"result","373","1.7070021629333496"
"result","374","1.7070105075836182"
"result","375","1.707040548324585"
"result","376","1.707045316696167"
"result","377","1.7070534229278564"
"result","378","1.7070817947387695"
"result","379","1.7071104049682617"
"result","380","1.7071280479431152"
"result","381","1.7071619033813477"
"result","382","1.7071666717529297"
"result","383","1.7071752548217773"
"result","384","1.7072057723999023"
"result","385","1.7072105407714844"
"result","386","1.707218885421753"
"result","387","1.7072525024414062"
"result","388","1.7072608470916748"
"result","389","1.7072737216949463"
"result","390","1.707319974899292"
"result","391","1.7073249816894531"
"result","392","1.7073338031768799"
"result","393","1.7073633670806885"
"result","394","1.7073683738708496"
"result","395","1.7073767185211182"
"result","396","1.7074177265167236"
"result","397","1.707423448562622"
"result","398","1.7074322700500488"
"result","399","1.707463026046753"
"result","400","1.7074685096740723"
"result","401","1.70747709274292"
"result","402","1.7075080871582031"
"result","403","1.7075133323669434"
"result","404","1.707521677017212"
"result","405","1.7075624465942383"
"result","406","1.7075679302215576"
"result","407","1.7075767517089844"
"result","408","1.707606554031372"
"result","409","1.707611322402954"
"result","410","1.7076199054718018"
"result","411","1.7076499462127686"
"result","412","1.7076547145843506"
"result","413","1.70766282081604"
"result","414","1.7076926231384277"
"result","415","1.7076971530914307"
"result","416","1.7077052593231201"
"result","417","1.7077345848083496"
"result","418","1.7077391147613525"
"result","419","1.707747220993042"
"result","420","1.7077767848968506"
"result","421","1.7077815532684326"
"result","422","1.7077949047088623"
"result","423","1.7078323364257812"
"result","424","1.7078373432159424"
"result","425","1.707845687866211"
"result","426","1.7078745365142822"
"result","427","1.7078793048858643"
"result","428","1.707888126373291"
"result","429","1.7079179286956787"
"result","430","1.7079226970672607"
"result","431","1.7079310417175293"
"result","432","1.707965612411499"
"result","433","1.707972764968872"
"result","434","1.70798659324646"
"result","435","1.708038091659546"
"result","436","1.7080466747283936"
"result","437","1.7080614566802979"
"result","438","1.7081143856048584"
"result","439","1.7081198692321777"
"result","440","1.7081286907196045"
"result","441","1.7081608772277832"
"result","442","1.7081902027130127"
"result","443","1.7082023620605469"
"result","444","1.708235740661621"
"result","445","1.7082407474517822"
"result","446","1.708249568939209"
"result","447","1.708280324935913"
"result","448","1.7082853317260742"
"result","449","1.70829439163208"
"result","450","1.7083635330200195"
"result","451","1.708369255065918"
"result","452","1.7083778381347656"
"result","453","1.7084095478057861"
"result","454","1.7084147930145264"
"result","455","1.7084271907806396"
"result","456","1.7084615230560303"
"result","457","1.7084684371948242"
"result","458","1.7084815502166748"
"result","459","1.7085156440734863"
"result","460","1.7085201740264893"
"result","461","1.708528757095337"
"result","462","1.708559513092041"
"result","463","1.7085645198822021"
"result","464","1.708573341369629"
"result","465","1.708604097366333"
"result","466","1.708608865737915"
"result","467","1.708617925643921"
"result","468","1.708648681640625"
"result","469","1.708653450012207"
"result","470","1.7086620330810547"
"result","471","1.7086915969848633"
"result","472","1.7086963653564453"
"result","473","1.708704948425293"
"result","474","1.7087352275848389"
"result","475","1.708740234375"
"result","476","1.708749532699585"
"result","477","1.7087836265563965"
"result","478","1.7087888717651367"
"result","479","1.7087974548339844"
"result","480","1.7088284492492676"
"result","481","1.7088332176208496"
"result","482","1.7088415622711182"
"result","483","1.7088735103607178"
"result","484","1.708878755569458"
"result","485","1.7088878154754639"
"result","486","1.7089202404022217"
"result","487","1.7089250087738037"
"result","488","1.7089340686798096"
"result","489","1.7089645862579346"
"result","490","1.708970546722412"
"result","491","1.7089793682098389"
"result","492","1.7090132236480713"
"result","493","1.7090184688568115"
"result","494","1.7090282440185547"
"result","495","1.7090613842010498"
"result","496","1.7090668678283691"
"result","497","1.7090771198272705"
"result","498","1.7091169357299805"
"result","499","1.7091224193572998"
"result","500","1.709132432937622"
"result","501","1.709167718887329"
"result","502","1.7091732025146484"
"result","503","1.7091834545135498"
"result","504","1.7092549800872803"
"result","505","1.7092628479003906"
"result","506","1.7092745304107666"
"result","507","1.70930814743042"
"result","508","1.7093138694763184"
"result","509","1.7093241214752197"
"result","510","1.7093567848205566"
"result","511","1.709362268447876"
"result","512","1.7093713283538818"
"result","513","1.709404468536377"
"result","514","1.709409475326538"
"result","515","1.709418535232544"
"result","516","1.7094526290893555"
"result","517","1.7094578742980957"
"result","518","1.7094669342041016"
"result","519","1.709498405456543"
"result","520","1.709503412246704"
"result","521","1.709512710571289"
"result","522","1.7095444202423096"
"result","523","1.709549903869629"
"result","524","1.7095592021942139"
"result","525","1.7095909118652344"
"result","526","1.7095961570739746"
"result","527","1.7096056938171387"
"result","528","1.7096376419067383"
"result","529","1.7096424102783203"
"result","530","1.7096514701843262"
"result","531","1.709684133529663"
"result","532","1.7096891403198242"
"result","533","1.70969820022583"
"result","534","1.7097904682159424"
"result","535","1.709796667098999"
"result","536","1.709806203842163"
"result","537","1.7098579406738281"
"result","538","1.7098665237426758"
"result","539","1.70987868309021"
"result","540","1.709916353225708"
"result","541","1.7099230289459229"
