"Dataset","Number of the triple","Time"
"result","1","1.5619275569915771"
"result","2","1.5624687671661377"
"result","3","1.5630886554718018"
"result","4","1.5632290840148926"
"result","5","1.563262939453125"
"result","6","1.5643091201782227"
"result","7","1.5643184185028076"
"result","8","1.5643937587738037"
"result","9","1.5644240379333496"
"result","10","1.5644299983978271"
"result","11","1.564445972442627"
"result","12","1.5644676685333252"
"result","13","1.5644729137420654"
"result","14","1.5644853115081787"
"result","15","1.5645034313201904"
"result","16","1.5645081996917725"
"result","17","1.5645205974578857"
"result","18","1.5645382404327393"
"result","19","1.5645430088043213"
"result","20","1.5645534992218018"
"result","21","1.564570665359497"
"result","22","1.564575433731079"
"result","23","1.564587116241455"
"result","24","1.564603328704834"
"result","25","1.564608097076416"
"result","26","1.5646193027496338"
"result","27","1.5646357536315918"
"result","28","1.564640760421753"
"result","29","1.5646536350250244"
"result","30","1.5646710395812988"
"result","31","1.5646755695343018"
"result","32","1.5646862983703613"
"result","33","1.5647027492523193"
"result","34","1.5647075176239014"
"result","35","1.56471848487854"
"result","36","1.5647363662719727"
"result","37","1.5647411346435547"
"result","38","1.5647516250610352"
"result","39","1.5647680759429932"
"result","40","1.5647728443145752"
"result","41","1.5647838115692139"
"result","42","1.5648009777069092"
"result","43","1.5648059844970703"
"result","44","1.564817190170288"
"result","45","1.564833641052246"
"result","46","1.5648384094238281"
"result","47","1.564850091934204"
"result","48","1.5648674964904785"
"result","49","1.5648722648620605"
"result","50","1.5648865699768066"
"result","51","1.5649042129516602"
"result","52","1.564908742904663"
"result","53","1.5649194717407227"
"result","54","1.564936637878418"
"result","55","1.564941644668579"
"result","56","1.5649523735046387"
"result","57","1.564969539642334"
"result","58","1.564974069595337"
"result","59","1.564985752105713"
"result","60","1.5650019645690918"
"result","61","1.565006971359253"
"result","62","1.5650558471679688"
"result","63","1.5650935173034668"
"result","64","1.5651023387908936"
"result","65","1.5651230812072754"
"result","66","1.5651569366455078"
"result","67","1.5651657581329346"
"result","68","1.5651860237121582"
"result","69","1.5652213096618652"
"result","70","1.565230131149292"
"result","71","1.5652484893798828"
"result","72","1.5652709007263184"
"result","73","1.5652806758880615"
"result","74","1.5652997493743896"
"result","75","1.5653321743011475"
"result","76","1.5653409957885742"
"result","77","1.5653607845306396"
"result","78","1.5653934478759766"
"result","79","1.5654025077819824"
"result","80","1.565422773361206"
"result","81","1.5654547214508057"
"result","82","1.5654640197753906"
"result","83","1.5654833316802979"
"result","84","1.5655162334442139"
"result","85","1.5655255317687988"
"result","86","1.5655474662780762"
"result","87","1.5655829906463623"
"result","88","1.5655927658081055"
"result","89","1.5656085014343262"
"result","90","1.565629482269287"
"result","91","1.5656344890594482"
"result","92","1.5656476020812988"
"result","93","1.5656664371490479"
"result","94","1.5656712055206299"
"result","95","1.565683364868164"
"result","96","1.565701961517334"
"result","97","1.565706729888916"
"result","98","1.565718173980713"
"result","99","1.565737009048462"
"result","100","1.565742015838623"
"result","101","1.56575345993042"
"result","102","1.5657715797424316"
"result","103","1.5657765865325928"
"result","104","1.5657885074615479"
"result","105","1.5658059120178223"
"result","106","1.5658109188079834"
"result","107","1.5658235549926758"
"result","108","1.565840482711792"
"result","109","1.5658457279205322"
"result","110","1.5658562183380127"
"result","111","1.565873146057129"
"result","112","1.56587815284729"
"result","113","1.5658886432647705"
"result","114","1.5659053325653076"
"result","115","1.5659101009368896"
"result","116","1.5659210681915283"
"result","117","1.5659377574920654"
"result","118","1.5659425258636475"
"result","119","1.5659542083740234"
"result","120","1.5659713745117188"
"result","121","1.5659763813018799"
"result","122","1.565990924835205"
"result","123","1.5660078525543213"
"result","124","1.5660128593444824"
"result","125","1.566049337387085"
"result","126","1.5660865306854248"
"result","127","1.5660972595214844"
"result","128","1.5661187171936035"
"result","129","1.5661540031433105"
"result","130","1.5661637783050537"
"result","131","1.5661861896514893"
"result","132","1.5662212371826172"
"result","133","1.5662286281585693"
"result","134","1.56624436378479"
"result","135","1.5662775039672852"
"result","136","1.5662868022918701"
"result","137","1.566307544708252"
"result","138","1.5663421154022217"
"result","139","1.5663511753082275"
"result","140","1.5663719177246094"
"result","141","1.5664055347442627"
"result","142","1.5664153099060059"
"result","143","1.5664355754852295"
"result","144","1.5664687156677246"
"result","145","1.5664780139923096"
"result","146","1.5664989948272705"
"result","147","1.5665345191955566"
"result","148","1.5665435791015625"
"result","149","1.5665593147277832"
"result","150","1.5665810108184814"
"result","151","1.5665864944458008"
"result","152","1.566598892211914"
"result","153","1.566617488861084"
"result","154","1.5666227340698242"
"result","155","1.5666348934173584"
"result","156","1.5666520595550537"
"result","157","1.5666570663452148"
"result","158","1.5666673183441162"
"result","159","1.5666844844818115"
"result","160","1.5666890144348145"
"result","161","1.5667071342468262"
"result","162","1.5667364597320557"
"result","163","1.5667452812194824"
"result","164","1.5667588710784912"
"result","165","1.5667777061462402"
"result","166","1.5667824745178223"
"result","167","1.566793441772461"
"result","168","1.5668108463287354"
"result","169","1.5668156147003174"
"result","170","1.566826581954956"
"result","171","1.5668435096740723"
"result","172","1.5668487548828125"
"result","173","1.5668599605560303"
"result","174","1.566878080368042"
"result","175","1.566882848739624"
"result","176","1.5668938159942627"
"result","177","1.566910743713379"
"result","178","1.566922664642334"
"result","179","1.5669348239898682"
"result","180","1.566953182220459"
"result","181","1.566957950592041"
"result","182","1.566971778869629"
"result","183","1.5669889450073242"
"result","184","1.5669941902160645"
"result","185","1.567004919052124"
"result","186","1.5670223236083984"
"result","187","1.5670270919799805"
"result","188","1.5670692920684814"
"result","189","1.5671064853668213"
"result","190","1.5671157836914062"
"result","191","1.5671372413635254"
"result","192","1.567171335220337"
"result","193","1.5671806335449219"
"result","194","1.5672016143798828"
"result","195","1.5672333240509033"
"result","196","1.5672404766082764"
"result","197","1.5672612190246582"
"result","198","1.5672950744628906"
"result","199","1.5673036575317383"
"result","200","1.5673243999481201"
"result","201","1.5673582553863525"
"result","202","1.567368507385254"
"result","203","1.567383050918579"
"result","204","1.5674102306365967"
"result","205","1.5674176216125488"
"result","206","1.567429780960083"
"result","207","1.5674490928649902"
"result","208","1.567455768585205"
"result","209","1.567474365234375"
"result","210","1.567507028579712"
"result","211","1.5675156116485596"
"result","212","1.5675370693206787"
"result","213","1.5675721168518066"
"result","214","1.5675816535949707"
"result","215","1.5676021575927734"
"result","216","1.5676374435424805"
"result","217","1.5676469802856445"
"result","218","1.5676681995391846"
"result","219","1.5676946640014648"
"result","220","1.567699909210205"
"result","221","1.567711591720581"
"result","222","1.5677294731140137"
"result","223","1.5677344799041748"
"result","224","1.5677456855773926"
"result","225","1.567763090133667"
