level_0,level_1,level_2,level_3,
"","","","",
"1","","","",
"1","10","","",
"1","10","100","10000",
"1","10","100","10001",
"1","10","101","10100",
"1","10","101","10101",
"1","10","107","10700",
"1","10","107","10701",
"1","11","","",
"1","11","110","11000",
"1","11","110","11001",
"1","11","110","11002",
"1","11","117","",
"1","12","","",
"1","12","120","12000",
"1","12","120","12001",
"1","12","120","12002",
"1","12","120","12003",
"1","12","120","12004",
"1","12","120","12005",
"1","12","120","12006",
"1","12","120","12009",
"1","12","121","12100",
"1","12","121","12101",
"1","12","121","12103",
"1","12","122","",
"1","12","124","",
"1","12","127","",
"1","13","","",
"1","13","130","13000",
"1","13","130","13001",
"1","13","130","13002",
"1","13","131","",
"1","13","132","",
"1","13","137","",
"1","14","","",
"1","14","143","",
"1","14","147","",
"1","14","150","",
"1","14","151","",
"1","14","152","",
"1","14","153","",
"1","16","","",
"1","16","160","16000",
"1","16","160","16008",
"1","16","160","16009",
"1","16","161","16103",
"1","16","161","16104",
"1","16","161","16105",
"1","16","161","16107",
"1","16","162","16200",
"1","16","162","16201",
"1","16","162","16202",
"1","16","162","16204",
"1","16","162","16205",
"1","16","162","16209",
"1","16","164","",
"2","","","",
"2","20","","",
"2","20","200","",
"2","20","202","",
"2","20","203","",
"2","20","204","",
"2","20","205","",
"2","20","206","",
"2","20","208","",
"2","20","209","",
"2","21","","",
"2","21","210","",
"2","21","212","",
"2","21","213","",
"2","21","214","",
"2","21","215","",
"2","21","216","",
"2","21","219","",
"2","22","","",
"2","22","220","22000",
"2","22","220","22001",
"2","22","220","22002",
"2","22","221","22100",
"2","22","221","22101",
"2","22","221","22102",
"2","22","221","22103",
"2","22","221","22104",
"2","22","221","22105",
"2","22","221","22106",
"2","22","221","22110",
"2","22","221","22111",
"2","22","221","22112",
"2","22","221","22113",
"2","22","221","22199",
"2","22","222","22200",
"2","22","222","22201",
"2","22","222","22202",
"2","22","222","22203",
"2","22","222","22299",
"2","22","223","",
"2","22","224","",
"2","22","225","22500",
"2","22","225","22501",
"2","22","225","22502",
"2","22","226","22601",
"2","22","226","22602",
"2","22","226","22603",
"2","22","226","22604",
"2","22","226","22606",
"2","22","226","22607",
"2","22","226","22609",
"2","22","226","22699",
"2","22","227","22700",
"2","22","227","22701",
"2","22","227","22702",
"2","22","227","22704",
"2","22","227","22705",
"2","22","227","22706",
"2","22","227","22708",
"2","22","227","22799",
"2","23","","",
"2","23","230","23000",
"2","23","230","23010",
"2","23","230","23020",
"2","23","231","23100",
"2","23","231","23110",
"2","23","231","23120",
"2","23","233","",
"2","24","","",
"2","24","240","",
"2","25","","",
"2","26","","",
"3","","","",
"3","30","","",
"3","30","300","",
"3","30","301","",
"3","30","309","",
"3","31","","",
"3","31","311","",
"3","31","319","",
"3","32","","",
"3","32","320","",
"3","32","321","",
"3","32","322","",
"3","32","329","",
"3","33","","",
"3","33","330","",
"3","33","331","",
"3","33","332","",
"3","33","339","",
"3","34","","",
"3","34","340","",
"3","34","341","",
"3","35","","",
"3","35","352","",
"3","35","353","",
"3","35","357","",
"3","35","358","",
"3","35","359","",
"4","","","",
"4","40","","",
"4","41","","",
"4","42","","",
"4","42","420","",
"4","42","421","42100",
"4","42","421","42110",
"4","42","422","",
"4","42","423","42300",
"4","42","423","42310",
"4","42","423","42320",
"4","42","423","42390",
"4","43","","",
"4","44","","",
"4","44","440","",
"4","44","441","",
"4","44","442","",
"4","44","449","",
"4","45","","",
"4","45","450","",
"4","45","451","",
"4","45","452","",
"4","45","453","45300",
"4","45","453","45310",
"4","45","453","45320",
"4","45","453","45390",
"4","46","","",
"4","46","461","",
"4","46","462","",
"4","46","463","",
"4","46","464","",
"4","46","465","",
"4","46","466","",
"4","46","467","",
"4","46","468","",
"4","47","","",
"4","47","470","",
"4","47","471","",
"4","47","472","",
"4","47","479","",
"4","48","","",
"4","49","","",
"5","","","",
"5","50","","",
"5","50","500","",
"6","","","",
"6","60","","",
"6","60","600","",
"6","60","609","",
"6","61","","",
"6","61","610","",
"6","61","619","",
"6","62","","",
"6","62","621","",
"6","62","622","",
"6","62","623","",
"6","62","624","",
"6","62","625","",
"6","62","626","",
"6","62","627","",
"6","62","629","",
"6","63","","",
"6","63","631","",
"6","63","632","",
"6","63","633","",
"6","63","634","",
"6","63","635","",
"6","63","636","",
"6","63","637","",
"6","63","639","",
"6","64","","",
"6","64","640","",
"6","64","641","",
"6","64","648","",
"6","65","","",
"6","65","650","",
"6","68","","",
"6","68","681","",
"6","68","682","",
"6","68","689","",
"6","69","","",
"6","69","690","",
"6","69","692","",
"7","","","",
"7","70","","",
"7","71","","",
"7","72","","",
"7","72","720","",
"7","72","721","72100",
"7","72","721","72109",
"7","72","722","",
"7","72","723","",
"7","73","","",
"7","74","","",
"7","75","","",
"7","75","750","",
"7","75","751","",
"7","75","752","",
"7","75","753","",
"7","76","","",
"7","76","761","",
"7","76","762","",
"7","76","763","",
"7","76","764","",
"7","76","765","",
"7","76","766","",
"7","76","767","",
"7","76","768","",
"7","77","","",
"7","78","","",
"7","79","","",
"8","","","",
"8","80","","",
"8","80","800","80000",
"8","80","800","80010",
"8","80","800","80020",
"8","80","800","80090",
"8","80","801","80100",
"8","80","801","80110",
"8","80","801","80120",
"8","80","801","80190",
"8","81","","",
"8","81","810","",
"8","81","811","",
"8","82","","",
"8","82","820","82000",
"8","82","820","82010",
"8","82","820","82020",
"8","82","820","82090",
"8","82","821","82100",
"8","82","821","82110",
"8","82","821","82120",
"8","82","821","82190",
"8","83","","",
"8","83","830","",
"8","83","831","",
"8","84","","",
"8","84","840","84000",
"8","84","840","84010",
"8","84","841","84100",
"8","84","841","84110",
"8","85","","",
"8","85","850","85001",
"8","85","850","85020",
"8","85","850","85090",
"8","86","","",
"8","86","860","86010",
"8","86","860","86020",
"8","86","860","86090",
"8","87","","",
"8","87","870","",
"8","87","871","",
"8","87","872","87210",
"8","87","872","87220",
"8","87","872","87290",
"9","","","",
"9","90","","",
"9","90","900","",
"9","90","901","",
"9","91","","",
"9","91","910","",
"9","91","911","",
"9","91","912","",
"9","91","913","",
"9","92","","",
"9","92","920","",
"9","92","921","",
"9","93","","",
"9","93","930","",
"9","93","931","",
"9","94","","",
"9","94","940","",
