"Dataset","Number of the triple","Time"
"result","1","1.7770850658416748"
"result","2","1.7771432399749756"
"result","3","1.7771568298339844"
"result","4","1.77718186378479"
"result","5","1.7772085666656494"
"result","6","1.7870607376098633"
"result","7","1.7871201038360596"
"result","8","1.787174940109253"
"result","9","1.7872321605682373"
"result","10","1.7872884273529053"
"result","11","1.787330150604248"
"result","12","1.7873811721801758"
"result","13","1.7874350547790527"
"result","14","1.7875027656555176"
"result","15","1.787545919418335"
"result","16","1.7875823974609375"
"result","17","1.7876191139221191"
"result","18","1.7876548767089844"
"result","19","1.7876935005187988"
"result","20","1.7877278327941895"
"result","21","1.7877693176269531"
"result","22","1.7878551483154297"
"result","23","1.7879042625427246"
"result","24","1.7879431247711182"
"result","25","1.7879712581634521"
"result","26","1.7880139350891113"
"result","27","1.7880511283874512"
"result","28","1.7880935668945312"
"result","29","1.7881293296813965"
"result","30","1.7883882522583008"
"result","31","1.7884221076965332"
"result","32","1.7884562015533447"
"result","33","1.7884840965270996"
"result","34","1.788926601409912"
"result","35","1.7889807224273682"
"result","36","1.7890434265136719"
"result","37","1.7890920639038086"
"result","38","1.789130449295044"
"result","39","1.789168357849121"
"result","40","1.789198398590088"
"result","41","1.7892346382141113"
"result","42","1.789278268814087"
"result","43","1.7893097400665283"
"result","44","1.7893400192260742"
"result","45","1.7893738746643066"
"result","46","1.7894165515899658"
"result","47","1.7894515991210938"
"result","48","1.789482831954956"
"result","49","1.7895431518554688"
"result","50","1.7895700931549072"
"result","51","1.789600133895874"
"result","52","1.7896294593811035"
"result","53","1.7896583080291748"
"result","54","1.7896883487701416"
"result","55","1.7897169589996338"
"result","56","1.7897469997406006"
"result","57","1.789780855178833"
"result","58","1.78981351852417"
"result","59","1.7898437976837158"
"result","60","1.7898733615875244"
"result","61","1.789903163909912"
"result","62","1.789933681488037"
"result","63","1.7899572849273682"
"result","64","1.790071725845337"
"result","65","1.7901337146759033"
"result","66","1.7901756763458252"
"result","67","1.7902276515960693"
"result","68","1.7902684211730957"
"result","69","1.790302038192749"
"result","70","1.790351152420044"
"result","71","1.7904043197631836"
"result","72","1.7904365062713623"
"result","73","1.7904717922210693"
"result","74","1.7905058860778809"
"result","75","1.7905404567718506"
"result","76","1.7905786037445068"
"result","77","1.7906155586242676"
"result","78","1.7906551361083984"
"result","79","1.7906930446624756"
"result","80","1.7907421588897705"
"result","81","1.7907845973968506"
"result","82","1.7908296585083008"
"result","83","1.7908618450164795"
"result","84","1.7909135818481445"
"result","85","1.7909553050994873"
"result","86","1.7909965515136719"
"result","87","1.7910456657409668"
"result","88","1.791088581085205"
"result","89","1.7911319732666016"
"result","90","1.791179895401001"
"result","91","1.7912113666534424"
"result","92","1.7913033962249756"
"result","93","1.79134202003479"
"result","94","1.7913706302642822"
"result","95","1.7914056777954102"
"result","96","1.7914438247680664"
"result","97","1.7914800643920898"
"result","98","1.7915122509002686"
"result","99","1.791670799255371"
"result","100","1.7917706966400146"
"result","101","1.7918384075164795"
"result","102","1.7918877601623535"
"result","103","1.7919259071350098"
"result","104","1.7919940948486328"
"result","105","1.7920749187469482"
"result","106","1.7921147346496582"
